essay_id,topic,stance
essay003.ann,"International tourism is now more common than ever before. Some feel that this is a positive trend, while others do not. What are your opinions on this?",pro
essay004.ann,"International tourism is now more common than ever before. Some feel that this is a positive trend, while others do not. What are your opinions on this?",con
essay014.ann,"Students at schools and universities learn far more from lessons with teachers than from others sources (such as the internet, television).To what extent do you agree or disagree?",
essay136.ann,"Students at schools and universities learn far more from lessons with teachers than from others sources (such as the internet, television).To what extent do you agree or disagree?",pro
essay037.ann,Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. To what extent do you agree or disagree with this opinion?,
essay137.ann,Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. To what extent do you agree or disagree with this opinion?,
essay039.ann,Governments spent a lot of money for traveling outer space. Do you think the investment is reasonable? Give your own opinion and reasons to support you claim,pro
essay227.ann,Governments spent a lot of money for traveling outer space. Do you think the investment is reasonable? Give your own opinion and reasons to support you claim,
essay040.ann,"In some countries, teenagers have jobs while they are still students. Do you think is a good idea? Support your opinion with specific details.",
essay189.ann,"In some countries, teenagers have jobs while they are still students. Do you think is a good idea? Support your opinion with specific details.",pro
essay048.ann,"Nowadays, distance-learning programs are such common thing for us, but some people argue that they're not as good as those by attending in a college or university in person. To what extent do you agree or disagree?",pro
essay297.ann,"Nowadays, distance-learning programs are such common thing for us, but some people argue that they're not as good as those by attending in a college or university in person. To what extent do you agree or disagree?",con
essay052.ann,English is making many lesser-known languages die out each year. To what extent do you think the advantages outweigh the disadvantages?,pro
essay056.ann,English is making many lesser-known languages die out each year. To what extent do you think the advantages outweigh the disadvantages?,pro
essay080.ann,"Do you agree or disagree with the following statement? Animals should be free, people should not keep them in zoos. Use specific reasons and examples to support your answer.",pro
essay194.ann,"Do you agree or disagree with the following statement? Animals should be free, people should not keep them in zoos. Use specific reasons and examples to support your answer.",pro
essay144.ann,Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Discuss these views. Which view do you agree with? Explain why.,pro
essay291.ann,Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Discuss these views. Which view do you agree with? Explain why.,con
essay162.ann,"Many people think that cheap air travel should be encouraged because it gives ordinary people the freedom to travel further. However, others think that this leads to environmental problem, and so air travel should be more expensive in order to discourage people from having it. Discuss both sides and give your own opinion.",pro
essay197.ann,"Many people think that cheap air travel should be encouraged because it gives ordinary people the freedom to travel further. However, others think that this leads to environmental problem, and so air travel should be more expensive in order to discourage people from having it. Discuss both sides and give your own opinion.",pro
essay163.ann,Some people prefer to live in a small town. Others prefer to live in big city. Which place would you prefer to live in? Use specific examples to support your answer.,
essay273.ann,Some people prefer to live in a small town. Others prefer to live in big city. Which place would you prefer to live in? Use specific examples to support your answer.,
essay171.ann,"\Prevention is better than cure\"". Out of a country's health budget"," a large proportion should be diverted from treatment to spending on health education and preventative measures. To what extent do you agree or disagree with this statement?"""
essay400.ann,"\Prevention is better than cure\"". Out of a country's health budget"," a large proportion should be diverted from treatment to spending on health education and preventative measures. To what extent do you agree or disagree with this statement?"""
essay176.ann,Many people visit museums when they travel to new places. Why do you think people visit museums? Use specific reasons and examples to support your answer.,
essay238.ann,Many people visit museums when they travel to new places. Why do you think people visit museums? Use specific reasons and examples to support your answer.,
essay183.ann,Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinion.,
essay244.ann,Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinion.,
essay191.ann,Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.,pro
essay320.ann,Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.,

